phrase_normalized,phrase_original
access,access
agent,agents
algorithm,algorithm
argument,argument
auction,auctions
bayesian game,bayesian game
belief,belief
benchmark,benchmarks
bid,bids
bidder,bidders
case,case
constraint,constraints
contact trace,contact traces
context,context
contract,contracts
control,control
convex domain,convex domain
core,core
cost,cost
cost function,cost functions
cost share,cost share
deep web,deep web
demand,demand
demand game,demand games
design,design
document,documents
equilibrium,equilibrium
event,events
event channel,event channels
experiment,experiments
feedback,feedback
framework,framework
function,function
gain,gains
game,games
global pagerank,global pagerank
goal,goals
graph,graph
grid,grid
group,group
implicit feedback,implicit feedback
index,index
ipt protocol,ipt protocols
linear program,linear program
local domain,local domain
local lag,local lag
local pda web browser,local pda web browsers
logic,logic
logic program,logic program
loss,loss
mac os,mac os
map,map
market effect,market effects
mean error,mean error
mutual bid bond,mutual bid bonds
nash equilibrium,nash equilibrium
network,networks
node,nodes
normal form game,normal form games
pagerank,pagerank
payment,payment
player,players
price,prices
price function,price function
product,products
protocol,protocol
rank,rank
ratio,ratio
reason,reason
relationship,relationships
rf spectrum,rf spectrum
score,scores
search,search
seller,sellers
sensor fusion,sensor fusion
sensor network,sensor networks
sensor node,sensor nodes
signal tree,signal tree
smart sensor,smart sensors
social network,social network
text search,text search
thin client,thin client
trade,trades
traffic flow,traffic flow
trec,trec
tree,tree
uncertain domain,uncertain domains
video playback,video playback
visual art,visual arts
visual descriptor,visual descriptors
weak ranker,weak rankers
weapon type,weapon type
web,web
web browser,web browsers
web graph,web graph
web object,web object
web search,web search
wireless channel,wireless channels
wireless sensor network,wireless sensor networks
xor bid,xor bids
